,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.user_rating.aggregate_rating,restaurant.timings,restaurant.all_reviews_count,restaurant.user_rating.votes,restaurant.location.latitude,restaurant.location.longitude,coordinate,Arts_Entertainment,College_University,Event,Nightlife_Spot,Outdoors_Recreation,Professional_n_Other_Places,Shop_Service,Travel_Transport,Residence
23,Los Tarascos,Mexican,10,3.5,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",28,106.0,33.1684,-87.5146,"(33.1684, -87.5146)",0,0,0,0,0,2,0,2,1
24,Glory Bound Gyro Co,"American, Mediterranean",10,3.5,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 9 PM (Sun)",31,114.0,33.20968,-87.568116,"(33.20968, -87.568116)",11,0,2,17,3,6,2,7,1
25,Taco Casa,"Fast Food, Mexican",10,3.5,"10:30 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 10:30 AM to 12 Midnight (Fri-Sat)",22,121.0,33.237149,-87.566315,"(33.237149, -87.566315)",0,0,0,0,3,0,0,1,1
26,Broadway Pizzeria,"Italian, Pizza",10,3.5,"11 AM to 9:30 PM (Mon-Thu, Sun), 11 AM to 10:30 PM (Fri-Sat)",34,106.0,33.24228,-87.51215,"(33.24228, -87.51215)",0,0,0,0,0,1,0,0,0
27,Buffalo Phil's Pub & Cafe,"American, Burger",10,3.4,"11 AM to 11 PM (Mon, Tue, Wed, Sat), 11 AM to 12 Midnight (Thu),11 AM to 11 PM, 12 Midnight to 2 AM (Fri),11 AM to 9 PM (Sun)",26,113.0,33.2106,-87.5529,"(33.2106, -87.5529)",6,23,1,9,4,4,4,0,1
28,Tokyo Japanese Steak & Sushi,"Japanese, Steak, Sushi",40,3.5,"4:30 PM to 10 PM (Mon-Thu),4:30 PM to 11 PM (Fri-Sat),Closed (Sun)",24,98.0,33.1536,-87.5477,"(33.1536, -87.5477)",0,0,0,0,0,0,0,0,1
29,Little Italy,"Italian, Pizza, Sandwich",10,3.5,"Lunch, Dinner (Sun),Lunch, Dinner, Late (Mon-Sat)",23,106.0,33.210867,-87.552707,"(33.210867, -87.552707)",6,23,1,9,4,4,4,0,1
30,Sitar,Indian,25,3.5,"Lunch, Dinner (Sun, Tue, Wed, Thu, Fri, Sat),  (Mon)",24,110.0,33.1988,-87.5414,"(33.1988, -87.5414)",2,1,0,1,1,3,1,1,4
31,The Avenue Pub,"Burger, Bar Food",25,3.5,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 4 PM (Sun)",30,85.0,33.2108954,-87.5671874,"(33.2108954, -87.5671874)",10,0,2,17,3,6,2,7,1
32,Southern Ale House,Southern,25,3.4,"11 AM to 9 PM (Mon-Thu),11 AM to 10 PM (Fri),11 AM to 11 PM (Sat),11 AM to 2 PM (Sun)",37,79.0,33.231922,-87.538137,"(33.231922, -87.538137)",1,0,0,0,1,3,0,1,0
